ko:K05985	sud:ST398NM01_0558
ko:K02528	sud:ST398NM01_0559
ko:K00919	sud:ST398NM01_0561
ko:K06412	sud:ST398NM01_0564
ko:K04042	sud:ST398NM01_0565
ko:K00948	sud:ST398NM01_0566
ko:K02897	sud:ST398NM01_0567
ko:K01056	sud:ST398NM01_0568
ko:K03723	sud:ST398NM01_0569
ko:K07571	sud:ST398NM01_0574
ko:K04075	sud:ST398NM01_0575
ko:K00760	sud:ST398NM01_0576
ko:K03798	sud:ST398NM01_0577
ko:K04083	sud:ST398NM01_0578
ko:K01738	sud:ST398NM01_0579
ko:K00796	sud:ST398NM01_0580
ko:K01633	sud:ST398NM01_0581
ko:K00950	sud:ST398NM01_0582
ko:K01620	sud:ST398NM01_1322
ko:K06131	sud:ST398NM01_1324
ko:K00928	sud:ST398NM01_1329
ko:K00003	sud:ST398NM01_1330
ko:K01733	sud:ST398NM01_1331
ko:K00872	sud:ST398NM01_1332
ko:K03781	sud:ST398NM01_1336
ko:K02913	sud:ST398NM01_1337
ko:K02954	sud:ST398NM01_1338
ko:K00364	sud:ST398NM01_1339
ko:K01356	sud:ST398NM01_1341
ko:K00615	sud:ST398NM01_1344
ko:K03547	sud:ST398NM01_1347
ko:K03282	sud:ST398NM01_1349
ko:K01681	sud:ST398NM01_1352
ko:K07107	sud:ST398NM01_1353
ko:K08591	sud:ST398NM01_1355
ko:K02622	sud:ST398NM01_1356
ko:K02621	sud:ST398NM01_1357
ko:K03310	sud:ST398NM01_1358
ko:K03480	sud:ST398NM01_1359
ko:K14205	sud:ST398NM01_1361
ko:K01821	sud:ST398NM01_1364
ko:K01652	sud:ST398NM01_2093
ko:K01653	sud:ST398NM01_2094
ko:K00053	sud:ST398NM01_2095
ko:K01649	sud:ST398NM01_2096
ko:K00052	sud:ST398NM01_2097
ko:K01703	sud:ST398NM01_2098
ko:K01704	sud:ST398NM01_2099
ko:K01754	sud:ST398NM01_2100
ko:K06959	sud:ST398NM01_2104
ko:K01775	sud:ST398NM01_2111
ko:K00997	sud:ST398NM01_2112
ko:K01548	sud:ST398NM01_2116
ko:K01547	sud:ST398NM01_2117
ko:K01546	sud:ST398NM01_2118
ko:K07646	sud:ST398NM01_2120
ko:K07667	sud:ST398NM01_2121
ko:K01929	sud:ST398NM01_2123
ko:K01921	sud:ST398NM01_2124
ko:K05837	sud:ST398NM01_2125
ko:K06131	sud:ST398NM01_2129
ko:K06950	sud:ST398NM01_2130
ko:K03217	sud:ST398NM01_2133
ko:K00788	sud:ST398NM01_2134
ko:K00878	sud:ST398NM01_2135
ko:K00941	sud:ST398NM01_2136
ko:K03707	sud:ST398NM01_2137
ko:K01839	sud:ST398NM01_0153
ko:K02042	sud:ST398NM01_0154
ko:K02042	sud:ST398NM01_0155
ko:K02041	sud:ST398NM01_0156
ko:K02044	sud:ST398NM01_0157
ko:K04072	sud:ST398NM01_0162
ko:K13012	sud:ST398NM01_0175
ko:K02472	sud:ST398NM01_0177
ko:K09790	sud:ST398NM01_0180
ko:K02837	sud:ST398NM01_1016
ko:K02250	sud:ST398NM01_1023
ko:K03800	sud:ST398NM01_1025
ko:K02003	sud:ST398NM01_1031
ko:K15977	sud:ST398NM01_1034
ko:K02016	sud:ST398NM01_1035
ko:K02548	sud:ST398NM01_1039
ko:K02551	sud:ST398NM01_1041
ko:K01661	sud:ST398NM01_1043
ko:K02829	sud:ST398NM01_1055
ko:K02828	sud:ST398NM01_1056
ko:K02827	sud:ST398NM01_1057
ko:K02826	sud:ST398NM01_1058
ko:K01491	sud:ST398NM01_1061
ko:K01588	sud:ST398NM01_1062
ko:K01589	sud:ST398NM01_1063
ko:K00793	sud:ST398NM01_1821
ko:K11752	sud:ST398NM01_1822
ko:K03893	sud:ST398NM01_1824
ko:K06199	sud:ST398NM01_1834
ko:K06199	sud:ST398NM01_1835
ko:K00789	sud:ST398NM01_1838
ko:K01610	sud:ST398NM01_1839
ko:K08998	sud:ST398NM01_1843
ko:K01911	sud:ST398NM01_1844
ko:K15586	sud:ST398NM01_2515
ko:K15585	sud:ST398NM01_2516
ko:K15584	sud:ST398NM01_2517
ko:K00963	sud:ST398NM01_2549
