ko:K02026	tpm:TPESAMD_0076
ko:K06972	tpm:TPESAMD_0025
ko:K12146	tpm:TPESAMD_0082
ko:K02027	tpm:TPESAMD_0074
ko:K02058	tpm:TPESAMD_0298
ko:K07003	tpm:TPESAMD_0790
ko:K06881	tpm:TPESAMD_0436
ko:K03686	tpm:TPESAMD_0098
ko:K03060	tpm:TPESAMD_0701
ko:K01768	tpm:TPESAMD_0485
ko:K18707	tpm:TPESAMD_0269
ko:K18682	tpm:TPESAMD_1018
ko:K00849	tpm:TPESAMD_0418
ko:K14742	tpm:TPESAMD_0876
ko:K03111	tpm:TPESAMD_0062
ko:K03497	tpm:TPESAMD_0271
ko:K03496	tpm:TPESAMD_0272
ko:K03526	tpm:TPESAMD_0446
ko:K06867	tpm:TPESAMD_0502
ko:K06867	tpm:TPESAMD_0835
ko:K02806	tpm:TPESAMD_0085
ko:K04749	tpm:TPESAMD_0540
ko:K03406	tpm:TPESAMD_0040
ko:K11751	tpm:TPESAMD_0104
ko:K00525	tpm:TPESAMD_1008
ko:K02035	tpm:TPESAMD_0585
ko:K03733	tpm:TPESAMD_0395
ko:K03498	tpm:TPESAMD_0140
ko:K18672	tpm:TPESAMD_0826
ko:K01520	tpm:TPESAMD_0885
ko:K01493	tpm:TPESAMD_0274
ko:K03546	tpm:TPESAMD_0627
ko:K03553	tpm:TPESAMD_0692
ko:K03465	tpm:TPESAMD_1007
ko:K02314	tpm:TPESAMD_0058
ko:K02316	tpm:TPESAMD_0492
ko:K06223	tpm:TPESAMD_0810
ko:K02335	tpm:TPESAMD_0105
ko:K02027	tpm:TPESAMD_0737
ko:K02383	tpm:TPESAMD_0567
ko:K00526	tpm:TPESAMD_0053
ko:K21929	tpm:TPESAMD_0229
ko:K03595	tpm:TPESAMD_0541
