ko:K03300	nmq:NMBM04240196_1728
ko:K07259	nmq:NMBM04240196_1730
ko:K13408	nmq:NMBM04240196_1736
ko:K13409	nmq:NMBM04240196_1737
ko:K01807	nmq:NMBM04240196_0709
ko:K01887	nmq:NMBM04240196_0713
ko:K00763	nmq:NMBM04240196_0714
ko:K05896	nmq:NMBM04240196_0715
ko:K00989	nmq:NMBM04240196_0718
ko:K00928	nmq:NMBM04240196_0719
ko:K06181	nmq:NMBM04240196_0721
ko:K06200	nmq:NMBM04240196_0723
ko:K03787	nmq:NMBM04240196_0728
ko:K06194	nmq:NMBM04240196_0729
ko:K03565	nmq:NMBM04240196_0731
ko:K01091	nmq:NMBM04240196_0732
ko:K00260	nmq:NMBM04240196_0733
ko:K01821	nmq:NMBM04240196_0735
ko:K14260	nmq:NMBM04240196_0736
ko:K03695	nmq:NMBM04240196_0737
ko:K01867	nmq:NMBM04240196_0738
ko:K01524	nmq:NMBM04240196_0741
ko:K09791	nmq:NMBM04240196_1493
ko:K09924	nmq:NMBM04240196_1494
ko:K00912	nmq:NMBM04240196_1495
ko:K00029	nmq:NMBM04240196_1496
ko:K00943	nmq:NMBM04240196_1497
ko:K07082	nmq:NMBM04240196_1498
ko:K03806	nmq:NMBM04240196_1499
ko:K01972	nmq:NMBM04240196_1501
ko:K03623	nmq:NMBM04240196_1520
ko:K08310	nmq:NMBM04240196_1525
ko:K00963	nmq:NMBM04240196_1529
ko:K01755	nmq:NMBM04240196_1530
ko:K02012	nmq:NMBM04240196_1532
ko:K02011	nmq:NMBM04240196_1533
ko:K13788	nmq:NMBM04240196_1535
ko:K02501	nmq:NMBM04240196_1536
ko:K01814	nmq:NMBM04240196_1537
ko:K02500	nmq:NMBM04240196_1538
ko:K02837	nmq:NMBM04240196_1540
ko:K00404	nmq:NMBM04240196_0511
ko:K00405	nmq:NMBM04240196_0512
ko:K03583	nmq:NMBM04240196_0515
ko:K03577	nmq:NMBM04240196_0518
ko:K03585	nmq:NMBM04240196_0519
ko:K00262	nmq:NMBM04240196_0525
ko:K03308	nmq:NMBM04240196_0528
ko:K09458	nmq:NMBM04240196_0532
ko:K03182	nmq:NMBM04240196_0537
ko:K00796	nmq:NMBM04240196_0540
ko:K03431	nmq:NMBM04240196_0541
